GCCode  state    Latitude   Longtitude  FP Name
GC182VD NotFound 50°41.467N 014°32.057E 74 Strelnice
GC2JKW8 NotFound 50°41.175N 014°32.371E 32 Stroboskop
GC1092H NotFound 50°45.015N 015°09.868E 85 Studna/Well,_ver._2
GC1J6J1 NotFound 50°44.217N 014°59.315E 54 sudoku_cache
GC24X2F NotFound 50°36.468N 014°34.569E 11 Sv._Jan_Nepomucky_/_EN
GCYMG7 NotFound 50°43.965N 015°05.948E 32 sv._Vaclav_-_Vratislavice
GCVQA7 NotFound 50°43.810N 015°04.840E 5 Taich_-_Vesecky_okruh_#4
GC2HZN7 NotFound 50°42.519N 015°08.116E 1 Tajemstvi_archivu_dr._Watsona
GC28V54 NotFound 50°41.250N 014°53.383E 87 TAJEMSTVI_KOCICICH_SKAL
GC2GTN3 NotFound 50°35.070N 015°09.556E 0 Tajemstvi_pana_Dr._/_Secret_of_Mr._Dr.
GC2H1D5 NotFound 50°47.591N 014°43.785E 1 Tajna_vojenska_zakladna_v_Hermanicich_v_Podjestedi
GC2PQ2N NotFound 50°43.151N 015°13.405E 65 Tak_anebo_tak
GC34Q51 NotFound 50°50.572N 015°20.319E 74 Tam_kde_se_ztraci_reka
GC1MF58 NotFound 50°44.151N 015°10.576E 1 The_Sculptures_Of_Jablonec_nad_Nisou
GC1N1TA NotFound 50°44.280N 015°09.687E 0 Treninkove_centrum_Mseno
GC2JX12 NotFound 50°35.495N 014°38.423E 111 Tri_ukoly_pro_tri_prince
GC14MWK NotFound 50°43.546N 014°35.945E 32 Trináctá_komnata_-_KHzPaB
GC1JMGB NotFound 50°30.683N 015°13.287E 55 Troskovicke_lipy
GC11764 NotFound 50°46.407N 015°04.578E 94 TUL
GC1CZNF NotFound 50°33.854N 015°28.881E 12 Tulackuv_statek
GC1Q3BD NotFound 50°44.342N 014°33.845E 32 Tvrznik
GC2N77V NotFound 50°45.232N 015°10.461E 84 Ty_lesniku,_kouzelniku,_ty_jsi_lesa_pan!
GC296EW NotFound 50°37.056N 015°20.379E 54 U_Kremilka_a_mozna_i_Vochomurky_:o)
GCXWAZ NotFound 50°47.653N 015°04.884E 21 U_Obrazku
GC2RT1M Watchlist 50°45.276N 015°02.463E 41 Uzka_kes
GC1128T NotFound 50°33.745N 015°09.775E 32 Valdstejn
GC1JRWV NotFound 50°45.134N 015°08.700E 84 Vanocni_cache
GC2GB27 NotFound 50°38.936N 014°29.832E 32 Vecerni_vyrazeni
GC1PKXZ NotFound 50°45.820N 015°03.347E 1 Vesela_Zed_-_Cheerful_Wall
GC1KV7H NotFound 50°48.989N 015°07.339E 0 Vetrna_Lhota
GC15GAA NotFound 50°42.705N 014°31.078E 3 Vidim_Sever
GC20E7G NotFound 50°43.586N 015°10.600E 54 vila_Steinberg
GCXYRW NotFound 50°46.100N 015°04.372E 9 Vodní_dílo_Harcov_/_Harcov_Dam
GC1WTRF NotFound 50°46.499N 015°24.596E 4 Vodnik_Pantoflicek
GC1ZDEQ NotFound 50°44.139N 015°07.921E 10 VogelStein
GCYMG8 NotFound 50°43.960N 015°06.612E 0 Vratislavicka_kyselka
GC12JRP NotFound 50°44.416N 015°05.416E 1 Vratislavická_nádražní
GC2D3XJ NotFound 50°45.098N 015°05.702E 45 Vratislavicky_mustek
GC2Z15A NotFound 50°46.265N 015°03.664E 10 VTA_#10_-_Telefonni_budka_-_Prvni_bonus
GC2ZMA0 NotFound 50°35.221N 015°08.371E 1 VTA_#30_-_Telefonni_budka_-_Treti_bonus
GC1ZEXJ NotFound 50°45.040N 015°06.563E 97 Vyhlidka_pro_Columba_/_Lookout_for_Columbo
GC332MF NotFound 50°32.163N 015°14.619E 87 Vyhlidka_Svatopluka_Cecha
GC3A99M NotFound 50°40.997N 014°32.945E 12 Vylety_do_historie_Ceske_Lipy
GC1D341 Watchlist 50°41.217N 015°26.201E 0 Vysoke_nad_Jizerou
GCKJTC NotFound 50°32.112N 015°08.601E 54 Vyzva_/_Challenge
GC2ZBW5 NotFound 50°45.593N 015°01.926E 87 Vzpominka_na_smetak_-_minimulti
GCVFN1 NotFound 50°44.873N 015°05.374E 44 Zachraneny_pivovar_-_Vratislavice
GC2PZPD NotFound 50°37.991N 014°25.301E 1 Zamek
GC2QWPE NotFound 50°43.115N 014°32.447E 85 Zanikly_hrbitov 
GC105TR NotFound 50°40.919N 014°29.845E 86 zapomenuty_pomnik_II.
GC10XRA NotFound 50°39.868N 014°30.444E 12 zapomenuty_pomnik_III.
GC2NGFX NotFound 50°46.146N 015°03.529E 89 Zarovka_/_LIGHT_BULB
GC2CN33 NotFound 50°41.758N 014°48.065E 86 zasilhej_si
GC1M1NJ NotFound 50°46.478N 015°03.595E 64 Zastavka_/_Bus_stop
GC21HDN NotFound 50°49.065N 014°34.805E 61 ZIMNI_VECER
GC233JE NotFound 50°41.435N 014°32.187E 63 Zmaten_v_16-ti
GC11FDD NotFound 50°36.321N 014°26.344E 69 Ztraceny_hradek_u_Hvezdy
GC1A6FE NotFound 50°46.893N 015°03.712E 21 Zvuk_slunecnich_hodin
