GCCode  state    Latitude   Longtitude  FP Name
GC1HRTG NotFound 50°35.762N 015°09.623E 8 Dog´s_joy_I._-_Kynologicka
GC1HRY8 NotFound 50°35.464N 015°10.670E 3 Dog´s_joy_III._-_Cestou necestou
GC1HT0E NotFound 50°35.819N 015°09.753E 8 Dog´s_joy_IV._-_Bozi voda
GC1ND05 NotFound 50°35.272N 015°10.345E 12 Dog´s_joy_VI._-_Struhy
GC2JA4H NotFound 50°34.688N 015°09.633E 156 Dog´s_joy_II._-_Sadova
GC1JMDB NotFound 50°36.027N 015°10.745E 1 Dog´s_joy_VII._-_Zrcadlova koza
GC11Z16 NotFound 50°32.983N 015°11.593E 12 Drací_skály
GC29CH6 NotFound 50°41.701N 015°26.293E 3 Dub_letni_-_Zatoulalo_se_mi_díte
GC24GC5 NotFound 50°41.338N 015°09.326E 1 Dub_v_Jestedske_ulici
GC1KKQV NotFound 50°44.269N 015°09.854E 2 Dub_ve_Msene
GC2WZTY NotFound 50°39.315N 014°32.106E 25 DZOSEROVA_STUPNOVITA_PYRAMIDA
GC270CB NotFound 50°46.283N 015°05.866E 81 English_Puzzles
GC14NTF NotFound 50°50.343N 014°35.190E 1 EOWYN
GC2M2TE NotFound 50°35.688N 015°09.706E 23 Eventova
GC1F3EG NotFound 50°43.839N 015°11.880E 8 Fiedlerova_vysina
GC1B2BD NotFound 50°55.097N 015°04.744E 123 Frydlantska_prochazka_v.2
GCXFXV NotFound 50°45.699N 014°54.874E 32 Fsichni_svati
GC1078A NotFound 50°50.379N 014°34.788E 74 GALADRIEL
GC1VHPH NotFound 50°48.423N 015°00.401E 65 Garfield
GC214RN NotFound 50°48.094N 014°43.060E 11 Garry_hraje_golf
GC38QKV NotFound 50°42.022N 015°14.342E 2 Geohashing
GC1087N NotFound 50°39.771N 014°32.061E 12 GOL
GC1MGDA NotFound 50°41.369N 014°32.335E 22 GOL-CH1
GC11AJD NotFound 50°41.175N 014°56.828E 1 GOL-KL
GC10ZBY NotFound 50°37.522N 014°31.737E 3 GOL-PP
GC113TF NotFound 50°42.917N 014°50.963E 8 GOL-PP1
GC118ET NotFound 50°42.148N 014°55.813E 9 GOL-PP2
GC11AJV NotFound 50°40.381N 014°56.695E 40 GOL-PP3
GC1YND4 NotFound 50°41.936N 014°50.330E 66 Hamerský_rybník
GC1XNR5 NotFound 50°47.448N 015°03.174E 156 Harry_Potter_The_Sorcerer´s_Stone_-_night_cache
GC1QXDK NotFound 50°47.314N 015°05.228E 250 Harry_Potter_cache
GC1C8BP NotFound 50°44.218N 015°10.967E 1 Haskovy_vily
GCVGJG NotFound 50°47.880N 014°48.839E 2 Havran
GC1XRCM NotFound 50°34.396N 015°15.969E 3 Hedvika_a_Kilian
GCMB8X NotFound 50°38.450N 014°30.925E 55 Hell`s_lizzard`n`frog_(Zahradky_u_Ceske_Lipy)
GC116EB NotFound 50°34.049N 015°09.621E 1 Hlavatice
GC1TBBK NotFound 50°48.326N 015°05.965E 151 Hledani_vyhledu_I
GC1TFGX NotFound 50°49.002N 015°06.366E 111 Hledani_vyhledu_II
GC1J6C4 NotFound 50°39.268N 014°32.528E 1 Hledej_Snehurku
GC1N4J4 NotFound 50°49.492N 015°20.567E 12 Hnojovy_dum_-_Misthaus
GC2MZKK NotFound 50°47.958N 015°07.921E 2 HOGO_FOGO_HOMOLKA
GC11YQQ NotFound 50°30.866N 015°11.404E 3 Holenkove
GC26FB4 NotFound 50°35.042N 014°40.861E 44 Holoubek_bez_Popelky_/_Pigeons_without_Cinderella
GCXRNC NotFound 50°46.761N 015°04.872E 6 Hra_Libercem/Game_of_Liberec
GC2TE1M NotFound 50°47.130N 015°11.381E 8 Hrabetice
GC1QZE5 NotFound 50°51.452N 014°37.157E 99 Hradnikova_"33"_cache_/_Hradniks_Christ_the_summer
GC1EA3E NotFound 50°48.214N 014°41.022E 10 Hradnikova_magicka_cache_/_Hradniks_magic_cache 
GC1QZE6 NotFound 50°44.605N 014°35.414E 32 Hradnikova_sloupska_cache_/_Hradniks_Sloups_Cache
