  GCKod   Latitude  Longtitude                           Name
GC24GC5   50°41,338N 15°09,326E     Dub_v_Jestedske_ulici                             
GC1KKQV   50°44,269N 15°09,854E     Dub_ve_Msene                                      
GC2WZTY   50°39,315N 14°32,106E     DZOSEROVA_STUPNOVITA_PYRAMIDA                     
GC270CB   50°46,283N 15°05,866E     English_Puzzles                                   
GC14NTF   50°50,343N 14°35,190E     EOWYN                                             
GC2M2TE   50°35,688N 15°09,706E     Eventova                                          
GC1F3EG   50°43,839N 15°11,880E     Fiedlerova_vysina                                 
GC1B2BD   50°55,097N 15°04,744E     Frydlantska_prochazka_v.2                         
GCXFXV    50°45,699N 14°54,874E     Fsichni_svati                                     
GC1078A   50°50,379N 14°34,788E     GALADRIEL                                         
GC1VHPH   50°48,423N 15°00,401E     Garfield                                          
GC214RN   50°48,094N 14°43,060E     Garry_hraje_golf                                  
GC38QKV   50°42,022N 15°14,342E     Geohashing                                        
GC1087N   50°39,771N 14°32,061E     GOL                                               
GC1MGDA   50°41,369N 14°32,335E     GOL-CH1                                           
GC11AJD   50°41,175N 14°56,828E     GOL-KL                                            
GC10ZBY   50°37,522N 14°31,737E     GOL-PP                                            
GC113TF   50°42,917N 14°50,963E     GOL-PP1                                           
GC118ET   50°42,148N 14°55,813E     GOL-PP2                                           
GC11AJV   50°40,381N 14°56,695E     GOL-PP3                                           
GC1YND4   50°41,936N 14°50,330E     Hamerský_rybník                                   
GC1XNR5   50°47,448N 15°03,174E     Harry_Potter_The_Sorcerer´s_Stone_-_night_cache   
GC1QXDK   50°47,314N 15°05,228E     Harry_Potter_cache                                
GC1C8BP   50°44,218N 15°10,967E     Haskovy_vily                                      
GCVGJG    50°47,880N 14°48,839E     Havran                                            
GC1XRCM   50°34,396N 15°15,969E     Hedvika_a_Kilian                                  
GCMB8X    50°38,450N 14°30,925E     Hell`s_lizzard`n`frog_(Zahradky_u_Ceske_Lipy)     
GC116EB   50°34,049N 15°09,621E     Hlavatice                                         
GC1TBBK   50°48,326N 15°05,965E     Hledani_vyhledu_I                                 
GC1TFGX   50°49,002N 15°06,366E     Hledani_vyhledu_II                                
GC1J6C4   50°39,268N 14°32,528E     Hledej_Snehurku                                   
GC1N4J4   50°49,492N 15°20,567E     Hnojovy_dum_-_Misthaus                            
GC2MZKK   50°47,958N 15°07,921E     HOGO_FOGO_HOMOLKA                                 
GC11YQQ   50°30,866N 15°11,404E     Holenkove                                         
GC26FB4   50°35,042N 14°40,861E     Holoubek_bez_Popelky_/_Pigeons_without_Cinderella 
GCXRNC    50°46,761N 15°04,872E     Hra_Libercem/Game_of_Liberec                      
GC2TE1M   50°47,130N 15°11,381E     Hrabetice                                         
GC1QZE5   50°51,452N 14°37,157E     Hradnikova_"33"_cache_/_Hradniks_Christ_the_summer
GC1EA3E   50°48,214N 14°41,022E     Hradnikova_magicka_cache_/_Hradniks_magic_cache   
GC1QZE6   50°44,605N 14°35,414E     Hradnikova_sloupska_cache_/_Hradniks_Sloups_Cache 
GCWTVZ    50°51,439N 14°34,931E     HRANICAR/RANGER                                   
GC2M06P   50°45,510N 15°26,053E     Hratky_s_certy_na_Certaku                         
GC2VPQY   50°39,338N 15°13,018E     Hrebenovka_nad_Splzov                             
GC23JQD   50°45,309N 15°03,371E     Hybaj_hledat_H!                                   
GC27AR1   50°49,689N 14°34,468E     hydrocefalus                                      
GCYJE9    50°44,859N 14°37,823E     Cha_-_cha_cache_/_Cha_-_Cha_keš                   
GC2K0TZ   50°46,715N 14°30,003E     Chirp:Ceska_Lipa                                  
GC1JNWC   50°36,823N 15°11,190E     Chocholka                                         
GC15FGM   50°44,738N 14°32,761E     Chotovicky_vrch_-_hrob                            
GC1XHPX   50°48,704N 14°58,145E     Chrastava                                         
GC1K5AV   50°48,996N 14°57,844E     Chrastavska_muzea_(CZ)(DE)                        
GC2AA0P   50°31,861N 15°22,333E     ICM_Lomnice_nad_Popelkou                          
GC26WX1   50°42,366N 15°11,880E     Indianska_cache                                   
GC135M8   50°50,309N 15°08,496E     Island                                            
GC11TQH   50°42,789N 15°11,081E     Jablonecka_kalendarova                            
GC1ERJK   50°42,335N 15°10,489E     Jablonecke_kostely_#5_-_sv.Jana_Nepomuckeho       
GC1E3MB   50°43,357N 15°10,607E     Jablonecky_zamecek                                
GC2007A   50°38,668N 14°30,482E     Jadran_v_Zahradkach                               
GC15AEJ   50°45,200N 15°26,248E     Janova_skala                                      
GC2BKV2   50°44,944N 15°06,174E     Japonske_rebusy_#_1_-_SUDOKU                      
GC2BKRV   50°46,980N 15°04,914E     Japonske_rebusy_#_2_-_NURIKABE                    
GC2BM0K   50°43,529N 15°06,082E     Japonske_rebusy_#_3_-_KAKURO                      
GC2BKVV   50°44,343N 15°06,865E     Japonske_rebusy_#_4_-_MASYU                       
GC2E6E1   50°44,460N 15°08,193E     Japonske_rebusy_#_5_-_SIKAKU                      
GC1K7FF   50°44,094N 14°36,015E     Jedinecna                                         
GC2GN51   50°45,111N 15°05,111E     Jednickova                                        
GC1E6J6   50°45,922N 15°03,582E     Jednoducha_carakova_-_Simple_barcoded             
GC1MM7J   50°49,887N 15°11,168E     Jeleni_skok                                       
GC14AQ7   50°43,696N 14°59,461E     Jested_-_Night_Edition                            
GC1P7NT   50°43,904N 15°09,228E     Jizdarna/Hippodrome                               
GC13NGH   50°47,368N 15°19,223E     Jizerky_-_Sousska_prehrada_760m.n.m.              
GC18VBT   50°52,598N 15°10,449E     Jizerske_vyhledy_-_Na_Hratkach                    
GC1PN91   50°47,525N 15°06,863E     Jmeninova                                         
GC2XZV9   50°39,958N 14°33,770E     KALOKAGATHIA                                      
GC2PNTN   50°45,738N 15°03,210E     Kanalove_poklopy                                  
GC198GN   50°38,176N 15°12,811E     Kantorovy_varhany/Cantor’s_Organ                  
GC1AFGR   50°44,181N 15°10,075E     Kaplicka_sv._Anny_ve_Msene                        
GC1T236   50°43,649N 15°02,295E     Kaplicka_sv._Vavrince_v_Pilinkove                 
GC142C6   50°32,183N 15°14,772E     Katova_tun                                        
GC27NJY   50°44,367N 15°10,991E     KDE_JSI                                           
GC274XA   50°35,464N 14°38,072E     Kde_se_ztraci_Machovo_jezero?                     
GC1167N   50°38,054N 14°28,073E     Kdo_propadl_peklu.                                
GC2RP6C   50°48,148N 15°07,927E     Klogertova_jedle                                  
GC10E3J   50°53,878N 15°00,048E     Kodesova_skala/_Kodes_rock                        
GC1KKP5   50°43,590N 15°08,820E     Kominova_I_-_teziste/centroid                     
GC1KKP6   50°43,829N 15°11,345E     Kominova_II_-_opsana_kruznice/circumcenter        
GC1KKP7   50°43,884N 15°09,011E     Kominova_III_-_prusecik_vysek/orthocenter         
GC1KKP8   50°44,307N 15°08,843E     Kominova_IV_-_vepsana_kruznice/incenter           
